index,title,link,Type,Contract,Floor,Lift,Surface,Rooms,Bed,Bath,Furnished,Terrace,Garage,price
65,"2-room flat excellent condition, second floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1673843/,Apartment,Rent,2,Yes,87 m²,2,2,1,0,Yes,0,"€ 2,300/month"
66,"2-room flat second floor, Mamer Localité, Mamer",https://www.immotop.lu/en/annonces/1698551/,Apartment,Rent,2,No,85 m²,2,2,1,0,0,0,"€ 2,200/month"
67,"3-room flat ground floor, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1657341/,Apartment,Rent,Ground floor,Yes,198 m²,3,3,2,0,Yes,0,"€ 4,200/month"
68,"Multi-family detached house Rent, Bonnevoie-Verlorenkost, Luxembourg",https://www.immotop.lu/en/annonces/1657107/,Multi-family detached house,Rent,Ground floor,No,0,5,5,3,0,Yes,0,"€ 4,000/month"
69,"4-room flat second floor, Medingen, Moutfort, Contern",https://www.immotop.lu/en/annonces/1577431/,Apartment,Rent,2,Yes,156 m²,4,4,3,0,Yes,0,"€ 3,850/month"
70,"4-room flat first floor, Medingen, Moutfort, Contern",https://www.immotop.lu/en/annonces/1577403/,Apartment,Rent,1,Yes,156 m²,4,4,3,0,Yes,0,"€ 3,750/month"
71,"3-room flat first floor, Medingen, Moutfort, Contern",https://www.immotop.lu/en/annonces/1577381/,Apartment,Rent,1,Yes,129 m²,3,3,2,0,No,0,"€ 3,250/month"
72,"Duplex for rent, Medingen, Moutfort, Contern",https://www.immotop.lu/en/annonces/1577427/,Duplex,Rent,1,Yes,236 m²,5,5,3,0,Yes,0,"€ 4,550/month"
73,"1-bedroom flat ground floor, Muhlenbach, Luxembourg",https://www.immotop.lu/en/annonces/1694661/,Apartment,Rent,Ground floor,Yes,49 m²,1,1,1,0,0,0,"€ 1,750/month"
74,"Single-family detached house 150 m², Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1700063/,Single-family detached house,Rent,3,No,150 m²,4,4,2,0,0,0,"€ 3,850/month"
75,"1-bedroom flat third floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1640931/,Apartment,Rent,3,Yes,52 m²,1,1,2,0,0,0,"€ 1,780/month"
76,"Single-family detached house 142 m², Alzingen, Hesperange",https://www.immotop.lu/en/annonces/1534053/,Single-family detached house,Rent,Ground floor,No,142 m²,3,3,2,0,0,0,"€ 3,300/month"
77,"Studio avenue du X Septembre, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1698543/,Studio,Rent,4,Yes,30 m²,0,0,2,0,No,1 in shared parking,"€ 1,500/month"
78,"1-bedroom flat second floor, Merl, Luxembourg",https://www.immotop.lu/en/annonces/1694989/,Apartment,Rent,2,No,72 m²,1,1,1,0,No,0,"€ 2,000/month"
79,"2-room flat first floor, Kehlen Localité, Kehlen",https://www.immotop.lu/en/annonces/1686389/,Apartment,Rent,1,Yes,80 m²,2,2,1,0,0,0,"€ 1,950/month"
80,"2-room flat new, first floor, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1689923/,Apartment,Rent,1,Yes,106 m²,2,2,2,0,No,0,"€ 4,400/month"
81,"Multi-family detached house 160 m², Bridel, Kopstal",https://www.immotop.lu/en/annonces/1690769/,Multi-family detached house,Rent,2,No,160 m²,3,3,3+,0,Yes,0,"€ 3,600/month"
82,"2-room flat ground floor, Merl, Luxembourg",https://www.immotop.lu/en/annonces/1698633/,Apartment,Rent,Ground floor,Yes,86 m²,2,2,1,0,0,0,"€ 2,200/month"
83,"1-bedroom flat ground floor, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1636919/,Apartment,Rent,Ground floor,Yes,50 m²,1,1,1,0,Yes,0,"€ 1,800/month"
84,"2-room flat third floor, Cessange, Luxembourg",https://www.immotop.lu/en/annonces/1641703/,Apartment,Rent,3,Yes,90 m²,2,2,1,0,Yes,0,"€ 2,500/month"
85,"2-room flat ground floor, Bertrange",https://www.immotop.lu/en/annonces/1676585/,Apartment,Rent,Ground floor,Yes,91 m²,2,2,1,0,Yes,1 in shared parking,"€ 3,200/month"
86,"1-bedroom flat second floor, Merl, Luxembourg",https://www.immotop.lu/en/annonces/1686397/,Apartment,Rent,2,Yes,50 m²,1,1,1,Yes,0,0,"€ 1,950/month"
87,"1-bedroom flat first floor, Beggen, Luxembourg",https://www.immotop.lu/en/annonces/1697227/,Apartment,Rent,1,No,60 m²,1,1,2,0,No,0,"€ 1,730/month"
88,"1-bedroom flat third floor, Cessange, Luxembourg",https://www.immotop.lu/en/annonces/1696943/,Apartment,Rent,3,Yes,50 m²,1,1,0,0,No,0,"€ 1,750/month"
89,"1-bedroom flat ground floor, Bonnevoie-Verlorenkost, Luxembourg",https://www.immotop.lu/en/annonces/1698509/,Apartment,Rent,Ground floor,No,55 m²,1,1,1,0,No,0,"€ 1,490/month"
90,"2-room flat second floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1685459/,Apartment,Rent,2,No,94 m²,2,2,1,0,0,0,"€ 2,700/month"
